iter	Logloss
0	0.624551246
1	0.564569776
2	0.5161563014
3	0.4726471151
4	0.4357453145
5	0.4045446486
6	0.3778236049
7	0.3546387923
8	0.3340774224
9	0.3176510507
10	0.3025126139
11	0.2889443469
12	0.276662962
13	0.2676341382
14	0.2593552371
15	0.2517391331
16	0.2452812338
17	0.2394549841
18	0.2336593204
19	0.2280564945
20	0.2232680949
21	0.2186235209
22	0.2152376251
23	0.2123955896
24	0.2095001976
25	0.2064980545
26	0.2042538487
27	0.2021300806
28	0.2003111823
29	0.1983273334
30	0.1967199272
31	0.1952593276
32	0.1939353694
33	0.1924786861
34	0.190965153
35	0.1898204604
36	0.1887250225
37	0.1878115722
38	0.1868411691
39	0.1858757833
40	0.1852015088
41	0.1845040777
42	0.1838417312
43	0.1830817072
44	0.1823715593
45	0.1817040142
46	0.1808503138
47	0.1803518635
48	0.1798016143
49	0.1794333071
50	0.1789900154
51	0.178444496
52	0.1781214073
53	0.1776936903
54	0.1773312224
55	0.177049694
56	0.1763482396
57	0.1760498157
58	0.1758209337
59	0.1753900865
60	0.1747909369
61	0.1744837441
62	0.1740805472
63	0.1736341905
64	0.1731999771
65	0.1729218402
66	0.1726098037
67	0.1722460812
68	0.1720173527
69	0.1717313431
70	0.1715194199
71	0.1712622424
72	0.1709460569
73	0.1708277775
74	0.1707394484
75	0.1705480797
76	0.1703638019
77	0.1701644364
78	0.1697609184
79	0.1695599086
80	0.1693266667
81	0.1690773985
82	0.1687490957
83	0.1685505271
84	0.1684213155
85	0.1681544018
86	0.1679989491
87	0.1676547088
88	0.1675372179
89	0.1673049207
90	0.1670898755
91	0.166935766
92	0.1667822342
93	0.1664793738
94	0.1662727229
95	0.1660127022
96	0.1658469264
97	0.1656579155
98	0.1654619369
99	0.1652267066
100	0.1650614734
101	0.1649582771
102	0.1648380271
103	0.1646869925
104	0.1644999068
105	0.1641900831
106	0.1641049583
107	0.1639556776
108	0.1638173783
109	0.1636879479
110	0.1635551178
111	0.1634211574
112	0.1631316068
113	0.1629686971
114	0.16287822
115	0.1626578137
116	0.1625357201
117	0.1623702886
118	0.162237906
119	0.1621256564
120	0.1620212226
121	0.161947064
122	0.1618503932
123	0.1617563895
124	0.1616850396
125	0.1615978021
126	0.1614249928
127	0.1613375441
128	0.1612506151
129	0.1611018453
130	0.161008087
131	0.1608608024
132	0.1607339937
133	0.1605626615
134	0.1604607662
135	0.160283274
136	0.1601161219
137	0.1600648044
138	0.1599622732
139	0.1598565018
140	0.1598113805
141	0.1597513744
142	0.159679151
143	0.1596164915
144	0.159528266
145	0.1594098297
146	0.159247348
147	0.1591363365
148	0.1590572463
149	0.1589565536
150	0.1588097037
151	0.1587525038
152	0.1586694016
153	0.1585900454
154	0.1585400196
155	0.1584406834
156	0.1583233791
157	0.1582186665
158	0.1581404815
159	0.1580825475
160	0.1578191738
161	0.1577278295
162	0.1576966546
163	0.1575479635
164	0.1574455038
165	0.1573494661
166	0.1572621965
167	0.1571823436
168	0.1570656302
169	0.1570166968
170	0.156880344
171	0.1567912426
172	0.1567485902
173	0.1566487801
174	0.1565103181
175	0.1563638784
176	0.1563025751
177	0.1562435456
178	0.156182572
179	0.1561204934
180	0.1560613688
181	0.155976072
182	0.1559409677
183	0.1558950993
184	0.1558029429
185	0.1557563884
186	0.1556711418
187	0.1556004903
188	0.1554997771
189	0.1554362412
190	0.1552258586
191	0.1551636982
192	0.1550594886
193	0.1550069098
194	0.1549390829
195	0.1548953644
196	0.1548205974
197	0.1545717374
198	0.1544743626
199	0.1543649899
200	0.1542022851
201	0.1541004327
202	0.1539430673
203	0.1537426318
204	0.1536630561
205	0.1535811084
206	0.1535239772
207	0.1533807909
208	0.1533321985
209	0.1532718873
210	0.1532148881
211	0.1531015772
212	0.1529699348
213	0.1529477794
214	0.1528739787
215	0.152721027
216	0.1526205063
217	0.152572059
218	0.1524730927
219	0.1522917178
220	0.1521929757
221	0.1521374478
222	0.1520722224
223	0.1520234912
224	0.151942254
225	0.1518656281
226	0.1517975497
227	0.1517549219
228	0.1516653114
229	0.1516005265
230	0.1515565264
231	0.1514176046
232	0.1512262334
233	0.1511601875
234	0.1509523345
235	0.1508843704
236	0.1507023707
237	0.1506482774
238	0.1505733447
239	0.1505214871
240	0.1504399849
241	0.1503255015
242	0.1501770247
243	0.1499831723
244	0.1498794554
245	0.1498263644
246	0.1497802595
247	0.1497118186
248	0.1496717789
249	0.1496158848
250	0.1494187906
251	0.1493565849
252	0.1491952278
253	0.1491302518
254	0.1489911895
255	0.148833076
256	0.1487011078
257	0.148608491
258	0.1484939129
259	0.1484503322
260	0.1483101788
261	0.1482593769
262	0.148215945
263	0.1481580708
264	0.1480470779
265	0.1478749006
266	0.1477748739
267	0.1476207541
268	0.1475688434
269	0.1475168867
270	0.1474594006
271	0.1473027021
272	0.147233477
273	0.1471740704
274	0.1470640632
275	0.1470125971
276	0.1469109575
277	0.1468531984
278	0.1467405149
279	0.1466317959
280	0.1464581083
281	0.1463964127
282	0.1463345723
283	0.1462989565
284	0.1462534987
285	0.146209352
286	0.1461576291
287	0.1460452115
288	0.1459461694
289	0.1458680147
290	0.1458004152
291	0.1457596547
292	0.1456365772
293	0.145476488
294	0.1454311479
295	0.1452643222
296	0.1452327249
297	0.1451489307
298	0.1450660362
299	0.1450063188
300	0.1449838905
301	0.1448706674
302	0.1447954036
303	0.1447319143
304	0.1446822817
305	0.1445360745
306	0.1444921291
307	0.1444030845
308	0.1442820548
309	0.1442322465
310	0.1441835562
311	0.1441216003
312	0.1440203627
313	0.1438968453
314	0.1438463612
315	0.1437893614
316	0.1437460997
317	0.1437294925
318	0.1436317453
319	0.1435830299
320	0.1435624147
321	0.1434854871
322	0.1433425578
323	0.1432356652
324	0.1431864048
325	0.1431452032
326	0.1430575614
327	0.1429237952
328	0.1428227466
329	0.1427138023
330	0.1426495442
331	0.1425859501
332	0.1425695947
333	0.1425240655
334	0.1424670119
335	0.1424180017
336	0.1422731508
337	0.1422182264
338	0.1421355175
339	0.1420832422
340	0.1420432632
341	0.1419498485
342	0.1418971256
343	0.1418593252
344	0.1418234815
345	0.1417306019
346	0.1416798428
347	0.1416420557
348	0.1416013206
349	0.1415054525
350	0.1414567285
351	0.1414201303
352	0.1413616819
353	0.1413242279
354	0.1412949069
355	0.1412408939
356	0.1411108792
357	0.1410849152
358	0.1410558587
359	0.141018484
360	0.1409755946
361	0.1409511515
362	0.1408936933
363	0.1407774048
364	0.1406917071
365	0.1405988803
366	0.1405301117
367	0.1404846269
368	0.1404468157
369	0.1404138967
370	0.1403409819
371	0.1402916423
372	0.1401868053
373	0.1400856708
374	0.1400404611
375	0.1399496194
376	0.1398131267
377	0.139749369
378	0.1396661678
379	0.1396196524
380	0.1395519901
381	0.1394699427
382	0.1393990019
383	0.1392465329
384	0.1391746152
385	0.1391326548
386	0.1390467501
387	0.1388973266
388	0.138832837
389	0.1388067689
390	0.1387457711
391	0.138677928
392	0.1386282194
393	0.1385813125
394	0.1385129506
395	0.1384607992
396	0.1383894961
397	0.138312985
398	0.1382515534
399	0.1382101848
400	0.1381571314
401	0.138030063
402	0.1379831678
403	0.137915009
404	0.1378197242
405	0.1377651656
406	0.1376707645
407	0.137640573
408	0.1375878835
409	0.1375466312
410	0.1375229434
411	0.1374926641
412	0.1374643159
413	0.1373849847
414	0.1372621465
415	0.1372035145
416	0.1371489263
417	0.1370779613
418	0.13696976
419	0.1368588413
420	0.1368388104
421	0.1367823988
422	0.1367229541
423	0.1366533531
424	0.1365793915
425	0.1365084638
426	0.1364340661
427	0.136367008
428	0.1363170702
429	0.136290797
430	0.1362297515
431	0.1361732029
432	0.1361170962
433	0.1360654388
434	0.1360068179
435	0.1359013648
436	0.1358668086
437	0.1357907063
438	0.1357537528
439	0.1357128882
440	0.135696112
441	0.1356295612
442	0.1355875964
443	0.135533014
444	0.1355210115
445	0.1354697836
446	0.1354163198
447	0.1353637911
448	0.1353143171
449	0.1352600275
450	0.1352112231
451	0.135114537
452	0.1350416759
453	0.1350249944
454	0.1349824373
455	0.1349364277
456	0.1348981228
457	0.1348210836
458	0.1347816754
459	0.1347146311
460	0.1346622812
461	0.1346259656
462	0.1345598048
463	0.1345052957
464	0.1344695472
465	0.1344243196
466	0.1343769055
467	0.1343187454
468	0.1342812904
469	0.1342570951
470	0.1342073823
471	0.1341949631
472	0.1341338764
473	0.134064269
474	0.1340147379
475	0.1339585253
476	0.1339112252
477	0.1338693793
478	0.1338135683
479	0.1337695147
480	0.1337291619
481	0.133675244
482	0.1336164463
483	0.1335235075
484	0.1334777303
485	0.1334459044
486	0.1334035294
487	0.1333467776
488	0.1333059321
489	0.1332871666
490	0.1332322863
491	0.1331734731
492	0.1330897101
493	0.133008935
494	0.1329539958
495	0.1328813293
496	0.1328612296
497	0.132820782
498	0.1327644833
499	0.1327233128
500	0.1326710443
501	0.1326089089
502	0.1325687938
503	0.1325401829
504	0.1325092385
505	0.1324702036
506	0.1323992929
507	0.1323426203
508	0.1322825914
509	0.132247054
510	0.1322338158
511	0.1322041648
512	0.1321688079
513	0.1321358588
514	0.1320722891
515	0.1319969677
516	0.1319518804
517	0.1319184281
518	0.1318584704
519	0.1317870985
520	0.1317408113
521	0.1316871786
522	0.1316415844
523	0.131596854
524	0.131550161
525	0.1315162234
526	0.1314738972
527	0.1314204279
528	0.1313655748
529	0.1313393537
530	0.1313185129
531	0.1312957905
532	0.1312388638
533	0.1311920872
534	0.1311480147
535	0.1311169881
536	0.1310859689
537	0.1310278817
538	0.1309831606
539	0.1309624626
540	0.1309325445
541	0.1308929553
542	0.1308672185
543	0.1308457257
544	0.1308033943
545	0.1307556811
546	0.1307060806
547	0.1306635629
548	0.1306235952
549	0.1305787889
550	0.1305401279
551	0.1304844561
552	0.1304347335
553	0.1303982558
554	0.1303525519
555	0.1303313106
556	0.1302897668
557	0.1302496402
558	0.1302295494
559	0.1301760076
560	0.1301227412
561	0.1300772251
562	0.130033257
